"","ESGU","GSPC","IWDA","SUWS","Rate_10Y"
"2020-01-03",-0.00578287518669551,-0.00708490936495387,-0.000529079005167965,-0.00493944930741907,-0.0434851119397387
"2020-01-06",0.00308379827323169,0.00352714519427266,-0.00273820060297147,-0.0020652617937098,0.00554018037561532
"2020-01-07",-0.00258095549665338,-0.0028071750845946,0.00652391885583814,0.00289015649120961,0.0109891215755952
"2020-01-08",0.00529421457565249,0.00489047348564142,0.003158456738241,0.00103031285962452,0.0216224640131658
"2020-01-09",0.00690948995235718,0.00663321411690632,0.00672224478866212,0.00513493123828934,-0.0107527917762619
"2020-01-10",-0.00344217045560136,-0.00285926248750634,-0.000783426671920218,0.00163754620424572,-0.0108696722369039
"2020-01-13",0.00905613959629648,0.00695199404593438,-0.000783974423411493,0.00081823788945079,0.0108696722369039
"2020-01-14",-0.00105689666748976,-0.00151568083689568,0.0036534328414497,0.00285704024701783,-0.0163491380015295
"2020-01-15",0.00164666440250283,0.00186845024368765,0.00043407311667476,0.00366114176820265,-0.0166208812360403
"2020-01-16",0.00873869998692367,0.00833174742223264,0.00407086624502018,0.00243387123727579,0.0111112254250707
"2020-01-17",0.00325735424869933,0.0038547232474837,0.00783503968615307,0.00363935663148496,0.0164387263431599
"2020-01-20",0,0,0.00128563571905449,0.000806669748545152,0
"2020-01-21",-0.00122040550449132,-0.00265550036958473,-0.00137142101395682,0,-0.0331522073169005
"2020-01-22",0.000678061921382422,0.000289034296681479,0.00179962098714004,0.00161197833049598,-0.005633817718256
"2020-01-23",0.0010838312823287,0.00114032619335802,-0.00368830280005561,-0.00849187594780187,-0.0170944333593002
"2020-01-24",-0.00870485455950831,-0.00908328942619363,0.00488620990281685,0.0044573428557233,-0.0232568621642673
"2020-01-27",-0.0150029000550616,-0.0158557523568437,-0.0214355946426608,-0.0200089584033627,-0.0543940720657987
"2020-01-28",0.0102098551047254,0.0100033835003526,0.0105158844950317,0.00923758986773948,0.0245411089161174
"2020-01-29",-0.00109879606792784,-0.000867250143585352,0.00284889762904239,0.00265288391169727,-0.0307716586667535
"2020-01-30",0.00466142596411334,0.00312945693021049,-0.0112701935774719,-0.00654302449365418,-0.0189280098855189
"2020-01-31",-0.0183589294428526,-0.0178644435713622,-0.0115750128573078,-0.00720499277789544,-0.0389659685333837
"2020-02-03",0.00901459052800746,0.00722842576123206,0.0063302588232732,0.00556273990277067,0.0196727655987048
"2020-02-04",0.0158886011605937,0.0148693159175064,0.0178933391080509,0.0187263167542875,0.0444517625708339
"2020-02-05",0.0093326805853593,0.0111877786589734,0.0090839388591526,0.0070330394249245,0.0305834233720801
"2020-02-06",0.00228565712751294,0.00332015505700234,0.00747918882102727,0.0051929227289158,-0.0060423144559627
"2020-02-07",-0.00376776900930409,-0.00541549100945993,-0.000423420900166782,-0.0051929227289158,-0.0370412716803489
"2020-02-10",0.00671834314251996,0.00729969012057374,0.0023690574876829,-0.000600825846276631,-0.0190481949706945
"2020-02-11",0.00240766755648369,0.00168704868600322,0.00740928917935157,0.00857869337909944,0.0190481949706945
"2020-02-12",0.0058611814700491,0.00644185310520307,0.00568801457867618,0.00119128409974056,0.0186921330121526
"2020-02-13",-0.000796855973050015,-0.00163177635998935,0.00358020703652961,-0.000992679629259863,-0.00619197024792106
"2020-02-14",0.00199155607979229,0.00184183609848532,0,0.000794189380560084,-0.0125001627642315
"2020-02-17",0,0,0.00307043719338118,0.00356590233566578,0
"2020-02-18",-0.00225731590651268,-0.00292421398614806,-0.0065672200988125,-0.00734364099061358,-0.0254790853009849
"2020-02-19",0.00490741095284442,0.00469474828428496,0.0102062515943162,0.00971372722746411,0.00643089033029043
"2020-02-20",-0.00384479515307401,-0.00382281742799684,-0.0109571920795561,-0.00851912282683687,-0.0259754864032607
"2020-02-21",-0.0113536307000954,-0.0105738092328203,-0.00627958705492659,-0.00239055432426749,-0.04027389913794
"2020-02-24",-0.0327719125804311,-0.0340880794204406,-0.0339131480586925,-0.0305785108280614,-0.0563529365511318
"2020-02-25",-0.0304420123600861,-0.0307479043753531,-0.0167349247501187,-0.0142903269128611,-0.0369045569354507
"2020-02-26",-0.0041586452131126,-0.00378569732352929,-0.00345178364183063,-0.00229705648169021,0
"2020-02-27",-0.0457198149359703,-0.0451681363522622,-0.0444155068628391,-0.033808016675587,-0.0228146777661714
"2020-02-28",-0.00648890375113886,-0.00827246310965268,-0.0408644742518613,-0.0455730208544256,-0.140146631743242
"2020-03-02",0.0428245057641163,0.0450108687694133,0.0112333588015643,0.0314160608213518,-0.0269074529199242
"2020-03-03",-0.0266056360209772,-0.028510484922915,0.0113918507057731,0.00873567467881942,-0.0755075525081452
"2020-03-04",0.0410069244409748,0.041336349360634,0.00864665307975931,0.0123178966805959,0
"2020-03-05",-0.0321085648655792,-0.0345107824399822,-0.00732602854269304,0.00257394890486706,-0.103184236235231
"2020-03-06",-0.0199828242075482,-0.0172009436523854,-0.0427563912516953,-0.0348769152516584,-0.217723483844871
"2020-03-09",-0.078788384590351,-0.0790104129403719,-0.0629393490767352,-0.0502664404468609,-0.315081046639895
"2020-03-10",0.0474233853508546,0.0482150524258591,-0.0113805423623914,-0.0124401149549274,0.341749293722057
"2020-03-11",-0.0490544071845447,-0.0501028928086056,0.00179997051609515,-0.0128359986891264,0.075985906977922
"2020-03-12",-0.101992736384931,-0.0999448524024729,-0.0935240133921869,-0.100699844821655,0.0706175672139534
"2020-03-13",0.0906653800257429,0.0888084069492354,0.0163598788272998,0.00381412018085281,0.0659579677917974
"2020-03-16",-0.127863537413577,-0.127652197472817,-0.0314575181734451,-0.0124501232741692,-0.252835341121613
"2020-03-17",0.0636001843701477,0.0582263126356919,0.0189235305303619,0.00235312044904834,0.33451337213588
"2020-03-18",-0.0527772166475025,-0.0532222723320803,-0.0367705235073843,-0.048144422722681,0.145711811181394
"2020-03-19",0.00444478983848517,0.00469676097040139,0.0170211840210133,0.014909332206207,-0.0521857531705701
"2020-03-20",-0.046520336898487,-0.0443276240533672,0.00611834633406838,-0.00309703024949659,-0.196710294246054
"2020-03-23",-0.033060933802795,-0.0297315010095769,-0.0586983334161384,-0.0485742638460238,-0.191055236762709
"2020-03-24",0.0925237160181784,0.0896832325179631,0.0805114419729018,0.0772927613375964,0.100083458556983
"2020-03-25",0.0128376713031924,0.0114689904208225,0.0276192143595941,0.0320950830856037,0.0465200156348929
"2020-03-26",0.0545715275259209,0.0605438310742468,0.0175958054698264,0.0368400451226842,-0.0584962066816086
"2020-03-27",-0.0288514787142207,-0.0342678455416268,-0.024204581445082,-0.0212222778236784,-0.142174488780543
"2020-03-30",0.0329548755817943,0.0329665905699752,0.0213483548650517,0.0250833150843617,-0.0281708769666963
"2020-03-31",-0.0192945228470256,-0.0161423107884158,0.0150674021075208,0.00782582093078643,0
"2020-04-01",-0.0428242889688852,-0.0451463627327868,-0.0431817514516708,-0.0461322414053074,-0.121360857004267
"2020-04-02",0.0226181705057678,0.0225726570569602,0.00901113399572129,-0.000416032405443856,0.0160003413464411
"2020-04-03",-0.0142112655307085,-0.015252860825945,-0.00359469824490111,-0.00500658909395657,-0.0160003413464411
"2020-04-06",0.0649097916813464,0.067968244144831,0.0411190005316162,0.0462279823745395,0.0775582343458746
"2020-04-07",0.00168574868390703,-0.0016043390483631,0.0298974895407125,0.0337181693658637,0.112795494145344
"2020-04-08",0.0315012454203432,0.0334893711912851,-0.000104849690147901,-0.00653648237894888,0.0263173083173734
"2020-04-09",0.0181147444600391,0.0143834703036996,0.0200307700208939,0.0263680288422332,-0.0533459807052927
"2020-04-10",0,0,0,0,0
"2020-04-13",-0.0112832032960615,-0.010156059444677,0,0,0.0402738991379399
"2020-04-14",0.031277462893927,0.0301145595723069,0.00777897607736788,0.00894965402602743,0
"2020-04-15",-0.0232050715391505,-0.0222767326723687,-0.0174848081421333,-0.0194137805892487,-0.187598613894798
"2020-04-16",0.00609157636302182,0.00579983783954141,0.010424846991262,0.00738377925436984,-0.0322608622182214
"2020-04-17",0.025094176291562,0.0264409320213206,0.0150823539827512,0.0169416353162262,0.0635134057223259
"2020-04-20",-0.0153920275829753,-0.0180428456153479,0.0070550276462833,0.0102134525856974,-0.0312525435041044
"2020-04-21",-0.0338032979451688,-0.0311551152363307,-0.0397470860301814,-0.0419773719352596,-0.0826917158451135
"2020-04-22",0.0241011492365821,0.0226713005821368,0.0220152266865679,0.0162451998666495,0.0826917158451135
"2020-04-23",-0.000639320994771708,-0.000539567660196028,0.0134039344445243,0.0127149705128629,-0.0322608622182214
"2020-04-24",0.0142905537654521,0.0138220905668396,-0.00973045469773082,-0.0141378863461763,-0.0165293019512106
"2020-04-27",0.0148659447507065,0.014606868181736,0.0228575291418429,0.0253058299040876,0.110348057168865
"2020-04-28",-0.00545122548610788,-0.00525617019048408,0.00704339712284563,0.00622760035578973,-0.0775582343458746
"2020-04-29",0.0278755947337102,0.0262367040450737,0.0189959182200008,0.0180019849026591,0.0160003413464411
"2020-04-30",-0.0108420942560601,-0.00925514331905486,-0.0202818858658649,-0.0106709166548455,0.0157483569681392
"2020-05-01",-0.0264482197422486,-0.0284602110147762,0,-0.0249609378121296,0
"2020-05-04",0.00409046700884996,0.00424082257884972,-0.0316752798432969,-0.00846061630389316,0
"2020-05-05",0.00844300455868652,0.00899993519777986,0.0310812445922268,0.020787797665264,0.0307716586667537
"2020-05-06",-0.00530762902227,-0.00700388039904265,-0.0039694556840626,-0.00533076322152426,0.0870113769896297
"2020-05-07",0.013061836664348,0.0114389557548904,0.0108782568553587,0.00925296252372965,-0.133531392624523
"2020-05-08",0.0168509678349835,0.016730795065226,0.00539510900476792,0,0.0909717782057266
"2020-05-11",0.00151789021883975,0.000133069366791361,0.00371055258250097,0.0121295964201091,0.0563529365511318
"2020-05-12",-0.0208435228861017,-0.020713365772048,-0.00263501487226581,0.00612318295868808,-0.0563529365511318
"2020-05-13",-0.0179707047181079,-0.0176169966242803,-0.023032717004198,-0.0244891061189589,-0.0752234212375874
"2020-05-14",0.0126911619083083,0.011458917804072,-0.0119713964893089,-0.0175298191774931,-0.0157483569681392
"2020-05-15",0.0049697067006429,0.0039186752037228,0.00846527247240347,0.0110213357020463,0.0157483569681392
"2020-05-18",0.0291601351417228,0.0310152087700732,0.0340353142517391,0.04000054426468,0.131576357788719
"2020-05-19",-0.011349231412086,-0.0105397477115989,-0.00378990195892381,-0.00179419309183637,-0.0419641990990322
"2020-05-20",0.0173496410499494,0.0165139906134151,0.00340184494690288,0.0073803181894212,-0.0289875368732522
"2020-05-21",-0.00750606140073629,-0.00780396830995311,-0.00984840005051568,-0.0152674906782737,0
"2020-05-22",0.00270859271693702,0.00235094568681227,0.00303309809399321,0.00113064876399482,-0.0298529631496812
"2020-05-25",0,0,0.0181040107038295,0,0
"2020-05-26",0.0126936191476741,0.0122142850214599,0.00124643815883685,0.0247750909543629,0.0444517625708337
"2020-05-27",0.0147296451909424,0.0147184474903153,-0.00230235961167846,-0.00464021098137168,-0.0145987994211526
"2020-05-28",-0.00160977922707684,-0.00211013932491966,0.0138301306054904,0.0245037210886396,0.0289875368732522
"2020-05-29",0.0030711339914129,0.00480079355230778,-0.0194162167948471,-0.0167814977200367,-0.0741079721537218
"2020-06-01",0.00625846559778243,0.00374421647836343,0.0147639619266657,0.0154836455463621,0.0152674721307884
"2020-06-02",0.00794871943283759,0.00817730728240029,0.00266108098535733,0.00733092217621434,0.0298529631496812
"2020-06-03",0.0131564163122748,0.0135566708125623,0.0154457712338703,0.0193601616984516,0.124297716677577
"2020-06-04",-0.00398613693515237,-0.00337438908360888,-0.00863529076328051,-0.00274276944017071,0.0629138254105692
"2020-06-05",0.0234013978344594,0.025874012821637,0.026695489681376,0.0219422286977915,0.104140259252597
"2020-06-08",0.0124617922465857,0.0119696564058049,0.000734029142258841,-0.00227649236835692,-0.0335226920386436
"2020-06-09",-0.00593460631151999,-0.00782974341972142,-0.00736443919854146,-0.0010363515455607,-0.0465200156348929
"2020-06-10",-0.00610932331466607,-0.00532725573518178,-0.00463049525699821,-0.00103742668440465,-0.113328685307003
"2020-06-11",-0.0580605045830263,-0.0607526929962887,-0.0365842837738719,-0.0322235507757214,-0.127833371509885
"2020-06-12",0.0121767540986575,0.0129762866052108,-0.000674208494692241,-0.0158613777218459,0.0730251350148898
"2020-06-15",0.0104104911448761,0.0082778608181755,-0.00696126971031452,-0.00219246793826366,0
"2020-06-16",0.017374533406187,0.0187848528667107,0.0336751313298409,0.0315427487475863,0.0548082364949951
"2020-06-17",-0.00270883142575062,-0.00360679623262961,0.00505288733836462,0.00148778250505988,-0.0134230203321407
"2020-06-18",0.00128390341121243,0.000594043403802758,-0.0040215187071575,-0.00212599371068878,-0.0413852161628544
"2020-06-19",-0.00543171598330794,-0.00566551356567402,0.00811990781660654,0.00678708563675201,-0.0141846349919564
"2020-06-22",0.00699894321257766,0.00647409329665827,-0.0124399660609704,-0.00678708563675201,0.0141846349919564
"2020-06-23",0.00411882648893691,0.00429816919148429,0.00908800197989734,0.016253672275069,0.0139862419747399
"2020-06-24",-0.0255542728225873,-0.0261952655956623,-0.0264615993374964,-0.029967173706525,-0.042559614418796
"2020-06-25",0.0114221994722632,0.0108998277282168,0.00496757107642054,-0.00194366735324825,-0.0145987994211526
"2020-06-26",-0.0232704195567006,-0.0245252042748305,-0.00477601431625896,-0.00368160135858897,-0.0606246218164349
