"","ESGU","GSPC","IWDA","SUWS","Rate_10Y"
"2020-01-02",66.1682357788086,3257.85009765625,56.7150001525879,5.56350326538086,1.88
"2020-01-03",65.7866897583008,3234.85009765625,56.685001373291,5.53609228134155,1.8
"2020-01-06",65.9899063110352,3246.28002929688,56.5299987792969,5.52467012405396,1.81
"2020-01-07",65.8197860717773,3237.17993164062,56.9000015258789,5.54065942764282,1.83
"2020-01-08",66.1691665649414,3253.05004882812,57.0800018310547,5.54637241363525,1.87
"2020-01-09",66.6279602050781,3274.69995117188,57.4650001525879,5.57492542266846,1.85
"2020-01-10",66.3990097045898,3265.35009765625,57.4199981689453,5.58406257629395,1.83
"2020-01-13",67.0030670166016,3288.1298828125,57.375,5.58863162994385,1.85
"2020-01-14",66.9322662353516,3283.14990234375,57.5849990844727,5.60462188720703,1.82
"2020-01-15",67.042594909668,3289.2900390625,57.6100006103516,5.6251802444458,1.79
"2020-01-16",67.630989074707,3316.81005859375,57.8450012207031,5.63888692855835,1.81
"2020-01-17",67.8516616821289,3329.6201171875,58.2999992370605,5.6594443321228,1.84
"2020-01-20",67.8516616821289,3329.6201171875,58.375,5.66401481628418,1.84
"2020-01-21",67.768913269043,3320.7900390625,58.2949981689453,5.66401481628418,1.78
"2020-01-22",67.8148880004883,3321.75,58.4000015258789,5.67315196990967,1.77
"2020-01-23",67.888427734375,3325.5400390625,58.185001373291,5.6251802444458,1.74
"2020-01-24",67.3000106811523,3295.46997070312,58.4700012207031,5.65030908584595,1.7
"2020-01-27",66.2978744506836,3243.6298828125,57.2299995422363,5.53837728500366,1.61
"2020-01-28",66.9782257080078,3276.23999023438,57.8349990844727,5.58977317810059,1.65
"2020-01-29",66.904670715332,3273.39990234375,58,5.60462188720703,1.6
"2020-01-30",67.2172775268555,3283.65991210938,57.3499984741211,5.56807231903076,1.57
"2020-01-31",65.9944915771484,3225.52001953125,56.689998626709,5.5280966758728,1.51
"2020-02-03",66.5920944213867,3248.919921875,57.0499992370605,5.55893564224243,1.54
"2020-02-04",67.6585845947266,3297.59008789062,58.0800018310547,5.66401481628418,1.61
"2020-02-05",68.2929534912109,3334.68994140625,58.6100006103516,5.70399045944214,1.66
"2020-02-06",68.4492797851562,3345.78002929688,59.0499992370605,5.73368692398071,1.65
"2020-02-07",68.1918487548828,3327.7099609375,59.0250015258789,5.70399045944214,1.59
"2020-02-10",68.6515426635742,3352.09008789062,59.1650009155273,5.70056390762329,1.56
"2020-02-11",68.817024230957,3357.75,59.6049995422363,5.7496771812439,1.59
"2020-02-12",69.221565246582,3379.44995117188,59.9449996948242,5.75653028488159,1.62
"2020-02-13",69.1663970947266,3373.93994140625,60.1599998474121,5.75081968307495,1.61
"2020-02-14",69.3043060302734,3380.15991210938,60.1599998474121,5.75538682937622,1.59
"2020-02-17",69.3043060302734,3380.15991210938,60.3450012207031,5.77594709396362,1.59
"2020-02-18",69.1480178833008,3370.2900390625,59.9500007629395,5.73368692398071,1.55
"2020-02-19",69.4882049560547,3386.14990234375,60.564998626709,5.78965377807617,1.56
"2020-02-20",69.221565246582,3373.22998046875,59.9049987792969,5.74053955078125,1.52
"2020-02-21",68.4400939941406,3337.75,59.5299987792969,5.72683382034302,1.46
"2020-02-24",66.233512878418,3225.88989257812,57.5449981689453,5.55436706542969,1.38
"2020-02-25",64.2476119995117,3128.2099609375,56.5900001525879,5.47555685043335,1.33
"2020-02-26",63.9809837341309,3116.38989257812,56.3950004577637,5.46299362182617,1.33
"2020-02-27",61.1216773986816,2978.76000976562,53.9449996948242,5.28138732910156,1.3
"2020-02-28",60.726318359375,2954.21997070312,51.7849998474121,5.04610204696655,1.13
"2020-03-02",63.3833808898926,3090.22998046875,52.3699989318848,5.20714855194092,1.1
"2020-03-03",61.7192611694336,3003.3701171875,52.9700012207031,5.2528338432312,1.02
"2020-03-04",64.3027877807617,3130.1201171875,53.4300003051758,5.31793832778931,1.02
"2020-03-05",62.2709007263184,3023.93994140625,53.0400009155273,5.33164501190186,0.92
"2020-03-06",61.0389137268066,2972.3701171875,50.8199996948242,5.14889669418335,0.74
"2020-03-09",56.4143371582031,2746.56005859375,47.7200012207031,4.89647769927979,0.54
"2020-03-10",59.1541442871094,2882.22998046875,47.1800003051758,4.8359432220459,0.76
"2020-03-11",56.3223991394043,2741.3798828125,47.2649993896484,4.77426528930664,0.82
"2020-03-12",50.8611679077148,2480.63989257812,43.0449981689453,4.31691074371338,0.88
"2020-03-13",55.6880149841309,2711.02001953125,43.7550010681152,4.33340740203857,0.94
"2020-03-16",49.003978729248,2386.1298828125,42.4000015258789,4.27979040145874,0.73
"2020-03-17",52.2218704223633,2529.18994140625,43.2099990844727,4.28987312316895,1.02
"2020-03-18",49.5372314453125,2398.10009765625,41.6500015258789,4.08823347091675,1.18
"2020-03-19",49.757884979248,2409.38989257812,42.3650016784668,4.14964199066162,1.12
"2020-03-20",47.4961624145508,2304.919921875,42.625,4.13681077957153,0.92
"2020-03-23",45.9515686035156,2237.39990234375,40.1949996948242,3.94067120552063,0.76
"2020-03-24",50.4060707092285,2447.330078125,43.564998626709,4.2573356628418,0.84
"2020-03-25",51.0573310852051,2475.56005859375,44.7849998474121,4.39619207382202,0.88
"2020-03-26",53.9210433959961,2630.07006835938,45.5800018310547,4.56116914749146,0.83
"2020-03-27",52.387565612793,2541.46997070312,44.4900016784668,4.46539068222046,0.72
"2020-03-30",54.142749786377,2626.64990234375,45.4500007629395,4.57881355285645,0.7
"2020-03-31",53.1081123352051,2584.59008789062,46.1399993896484,4.61478710174561,0.7
"2020-04-01",50.8818092346191,2470.5,44.189998626709,4.40673160552979,0.62
"2020-04-02",52.045768737793,2526.89990234375,44.5900001525879,4.40489912033081,0.63
"2020-04-03",51.3113632202148,2488.64990234375,44.4300003051758,4.38290166854858,0.62
"2020-04-06",54.7524452209473,2663.67993164062,46.2949981689453,4.59027099609375,0.67
"2020-04-07",54.8448257446289,2659.40991210938,47.7000007629395,4.74768447875977,0.75
"2020-04-08",56.6000061035156,2749.97998046875,47.6949996948242,4.71675157546997,0.77
"2020-04-09",57.634635925293,2789.82006835938,48.6599998474121,4.84277725219727,0.73
"2020-04-10",57.634635925293,2789.82006835938,48.6599998474121,4.84277725219727,0.73
"2020-04-13",56.9879951477051,2761.6298828125,48.6599998474121,4.84277725219727,0.76
